,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.91475272179
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.506477117538452
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13281226158
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.6035745144
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9008519649505615
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.45370841026
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.6189854145
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.139012575149536
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.830190897
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.15055775642
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.380789995193481
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.50060200691
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.45224547386169434
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.6358025074005
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.914334535598755
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.043144464493
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.794843912125
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.805668115615845
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8772.020972013474
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.9148643016815186
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.53503870964
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.684880018234
24,2019-10-31,BUY,NVDA,3061,5.050087928771973,269.36573004722595
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.582374334335
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.42246222496
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,208.80342078208923
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.7334134578705
29,2019-12-31,SELL,NVDA,11902,5.783753395080566,70016.96632170677
30,2019-12-31,BUY,CSCO,1731,40.44773864746094,1.930722951889038
