,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539793491363525,49143.92691111565
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5186355113983154
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.14497065544
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.61573290825
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.913010358810425
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.46586680412
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.63114380836
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.1511709690094
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.84234929085
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.16271615028
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.392948389053345
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.51276040077
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.4582560062408447
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.642723798752
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.921255826950073
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.050065755844
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.801765203476
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.812589406967163
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8772.027893304825
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.921785593032837
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.541960000992
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.691801309586
24,2019-10-31,BUY,NVDA,3061,5.0500874519348145,269.37411093711853
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.504754781723
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.344842672348
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,186.72580122947693
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.6557939052582
29,2019-12-31,SELL,NVDA,11901,5.783752918243408,69989.09927392006
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70016.74594140053
31,2019-12-31,BUY,CSCO,1731,40.44773864746094,1.7103426456451416
